                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.88722,                0.94512,                 1.3405,                0.72653,                0.66263,                0.54028,                 0.1091,                 3.0397,                 1.8158,                 1.9676,              0.0014574,              0.0014574,              0.0014574
                    129,                0.87952,                0.88292,                 1.2924,                0.72653,                0.66263,                0.54028,                 0.1091,                 3.0397,                 1.8158,                 1.9676,              0.0014558,              0.0014558,              0.0014558
                    130,                0.87854,                0.83813,                 1.2871,                0.70004,                0.65874,                0.56978,                0.18718,                 3.0066,                 1.6834,                 1.8896,              0.0014541,              0.0014541,              0.0014541
                    131,                0.85897,                0.86792,                 1.3132,                0.72044,                    0.5,                0.45552,                0.13324,                  3.023,                 1.7666,                 2.0996,              0.0014525,              0.0014525,              0.0014525
                    132,                0.84402,                0.85151,                 1.2214,                0.74044,                0.49064,                0.41914,                0.11963,                 3.2053,                 1.8862,                 2.2798,              0.0014508,              0.0014508,              0.0014508
                    133,                0.77423,                0.75848,                 1.2699,                0.74044,                0.49064,                0.41914,                0.11963,                 3.2053,                 1.8862,                 2.2798,              0.0014492,              0.0014492,              0.0014492
                    134,                 0.8905,                0.91315,                 1.2911,                0.32475,                0.33333,                0.28208,                0.10312,                 3.3657,                 1.8622,                 2.6232,              0.0014475,              0.0014475,              0.0014475
                    135,                0.88537,                0.85023,                 1.2693,                 0.3859,                0.16667,                  0.283,                0.10256,                 3.5391,                 2.0844,                 3.1812,              0.0014459,              0.0014459,              0.0014459
                    136,                0.81262,                 0.8314,                 1.2822,                0.32882,                 0.3243,                0.24147,                0.06575,                 3.5352,                 2.1602,                 3.0846,              0.0014442,              0.0014442,              0.0014442
                    137,                0.75671,                0.75546,                 1.1887,                0.32882,                 0.3243,                0.24147,                0.06575,                 3.5352,                 2.1602,                 3.0846,              0.0014426,              0.0014426,              0.0014426
                    138,                0.79915,                0.77402,                 1.2718,                0.29968,                    0.5,                0.24369,                0.06921,                 3.1835,                 2.0571,                  2.656,              0.0014409,              0.0014409,              0.0014409
                    139,                0.89003,                0.84048,                 1.3088,                0.51552,                    0.5,                0.41173,                 0.1339,                 2.9063,                 2.0053,                 2.1934,              0.0014393,              0.0014393,              0.0014393
                    140,                0.78031,                0.79143,                 1.2208,                0.73034,                0.58248,                 0.4999,                0.18193,                 2.7725,                 1.9345,                 2.2658,              0.0014376,              0.0014376,              0.0014376
                    141,                0.70316,                0.73434,                 1.2185,                0.73034,                0.58248,                 0.4999,                0.18193,                 2.7725,                 1.9345,                 2.2658,               0.001436,               0.001436,               0.001436
                    142,                0.71998,                0.69866,                 1.2388,                0.79033,                0.54584,                0.55521,                0.18384,                 2.8591,                 2.0468,                   2.39,              0.0014343,              0.0014343,              0.0014343
                    143,                 0.8776,                0.84545,                 1.2731,                0.36184,                0.47066,                 0.3202,                0.12965,                 3.0081,                 2.9297,                  2.641,              0.0014327,              0.0014327,              0.0014327
                    144,                0.88337,                0.87983,                 1.2835,                0.59071,                0.49413,                 0.3668,                0.11279,                 3.1273,                 2.9779,                 2.6498,               0.001431,               0.001431,               0.001431
                    145,                0.78065,                0.79058,                 1.2438,                0.59071,                0.49413,                 0.3668,                0.11279,                 3.1273,                 2.9779,                 2.6498,              0.0014294,              0.0014294,              0.0014294
                    146,                 0.8029,                0.82095,                 1.2812,                0.66926,                    0.5,                0.33517,                0.07018,                 3.0771,                  2.931,                  2.545,              0.0014277,              0.0014277,              0.0014277
